currencies
ARS
AUD
BRL
CAD
CHF
CLP
CNY
COP
CZK
DKK
EUR
GBP
HKD
HUF
IDR
ISK
JPY
KES
KRW
MXN
MYR
NOK
NZD
PHP
PLN
SEK
SGD
THB
TWD
USD
VND
ZAR
